campaign,unit,fault_model,mode,config_family,workload,n_reps,n_valid,n_inactive,n_simerror,n_sdc,n_crash,n_hang,n_masked,n_inject0,P_SDC,P_DUE,wilson_lo,wilson_hi,denominator,source_run
mem_regchain_pilot,memory,transient_bit_flip,SE,C0,regchain,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/mem_regchain_pilot
ooo_w31_toy_rob_pcbitflip,rob,transient_bit_flip,SE,C3,pcbitflip,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w31_toy_rob_pcbitflip
ooo_w81_gate_e074,rob,transient_bit_flip,SE,C3,e074,2000,2000,0,0,0,0,0,2000,0,0.0000,0.0000,0.0000,0.0019,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e074
ooo_w81_gate_e075_crc32,rob,transient_bit_flip,SE,C3,crc32,334,334,0,0,0,0,0,334,0,0.0000,0.0000,0.0000,0.0114,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e075_crc32
ooo_w81_gate_e075_matmult-int,rob,transient_bit_flip,SE,C3,ooo_w81_gate_e075_matmult-int,334,334,0,0,0,0,0,334,0,0.0000,0.0000,0.0000,0.0114,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e075_matmult-int
ooo_w81_gate_e075_md5sum,rob,transient_bit_flip,SE,C3,md5sum,334,334,0,0,0,0,0,334,0,0.0000,0.0000,0.0000,0.0114,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e075_md5sum
ooo_w81_gate_e075_minver,rob,transient_bit_flip,SE,C3,minver,334,334,0,0,0,0,0,334,0,0.0000,0.0000,0.0000,0.0114,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e075_minver
ooo_w81_gate_e075_nbody,rob,transient_bit_flip,SE,C3,nbody,334,334,0,0,0,0,0,334,0,0.0000,0.0000,0.0000,0.0114,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e075_nbody
ooo_w81_gate_e075_wikisort,rob,transient_bit_flip,SE,C3,wikisort,334,334,0,0,0,0,0,334,0,0.0000,0.0000,0.0000,0.0114,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e075_wikisort
ooo_w81_gate_e082,rob,transient_bit_flip,SE,C3,e082,2000,2000,0,0,0,0,2000,0,0,0.0000,1.0000,0.0000,0.0019,n_valid(ooo),/home/sdc/gem5-fi/runs/ooo_w81_gate_e082
